GeneID	KEGG	KO	description	pathways	UniProt
AT4G00630	ath:AT4G00630	No_KO	--	(--,--)	O65272
AT4G05612	ath:AT4G05612	No_KO	--	(--,--)	F4JGH9
AT5G32386	No_KEGG	--	--	(--,--)	--
AT1G55670	ath:AT1G55670	K08905	photosystem I subunit V	{'ath01100': 'Metabolic pathways', 'ath00195': 'Photosynthesis'}	Q9S7N7
AT1G36450	No_KEGG	--	--	(--,--)	--
AT3G59630	ath:AT3G59630	K17866	diphthamide biosynthesis protein 2	(--,--)	Q9M1A5
AT3G26260	No_KEGG	--	--	(--,--)	--
AT2G20420	ath:AT2G20420	K01900	succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00640': 'Propanoate metabolism', 'ath01200': 'Carbon metabolism', 'ath00020': 'Citrate cycle (TCA cycle)', 'ath01100': 'Metabolic pathways'}	O82662
AT3G57740	ath:AT3G57740	No_KO	--	(--,--)	A0A178VE74
AT1G55660	ath:AT1G55660	No_KO	--	(--,--)	Q1PFK0
AT2G43710	ath:AT2G43710	K03921	acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]	{'ath01212': 'Fatty acid metabolism', 'ath01040': 'Biosynthesis of unsaturated fatty acids', 'ath00061': 'Fatty acid biosynthesis'}	O22832
AT5G12890	ath:AT5G12890	No_KO	--	(--,--)	Q9LXV0
AT5G23610	ath:AT5G23610	No_KO	--	(--,--)	F4KE84
AT1G04910	ath:AT1G04910	No_KO	--	(--,--)	Q8W486
AT3G16780	ath:AT3G16780	K02885	large subunit ribosomal protein L19e	{'ath03010': 'Ribosome'}	Q9LUQ6
AT4G02230	ath:AT4G02230	K02885	large subunit ribosomal protein L19e	{'ath03010': 'Ribosome'}	P49693
AT1G37070	No_KEGG	--	--	(--,--)	--
AT1G39830	No_KEGG	--	--	(--,--)	--
AT1G39511	No_KEGG	--	--	(--,--)	--
AT4G04140	No_KEGG	--	--	(--,--)	--
AT3G17020	ath:AT3G17020	No_KO	--	(--,--)	A0A1I9LPQ2
AT3G56200	ath:AT3G56200	No_KO	--	(--,--)	Q9LYM2
AT4G18140	ath:AT4G18140	No_KO	--	(--,--)	F4JQR6
AT5G04130	ath:AT5G04130	K02470	DNA gyrase subunit B [EC:5.99.1.3]	(--,--)	Q94BZ7
AT1G12550	ath:AT1G12550	K15919	hydroxypyruvate reductase 2	{'ath00260': 'Glycine, serine and threonine metabolism', 'ath00630': 'Glyoxylate and dicarboxylate metabolism', 'ath01200': 'Carbon metabolism', 'ath01100': 'Metabolic pathways', 'ath01110': 'Biosynthesis of secondary metabolites'}	Q9LE33
AT4G38360	ath:AT4G38360	No_KO	--	(--,--)	F4JTN2
AT5G46410	ath:AT5G46410	No_KO	--	(--,--)	F4KHG9
AT5G37020	ath:AT5G37020	No_KO	--	(--,--)	Q9FGV1
AT5G28497	No_KEGG	--	--	(--,--)	--
AT5G28487	No_KEGG	--	--	(--,--)	--
AT5G63950	ath:AT5G63950	K20093	DNA excision repair protein ERCC-6-like [EC:3.6.4.12]	(--,--)	Q8W103
AT1G34550	ath:AT1G34550	No_KO	--	(--,--)	A0A1P8AW51
AT2G46520	ath:AT2G46520	K18423	exportin-2 (importin alpha re-exporter)	(--,--)	Q9ZPY7
AT3G27520	ath:AT3G27520	No_KO	--	(--,--)	Q8LF87
AT5G16010	ath:AT5G16010	No_KO	--	(--,--)	Q9LFS3
AT5G27720	ath:AT5G27720	K12623	U6 snRNA-associated Sm-like protein LSm4	{'ath03018': 'RNA degradation', 'ath03040': 'Spliceosome'}	F4K4E3
AT4G13700	ath:AT4G13700	K22390	acid phosphatase type 7	(--,--)	Q6TPH1
AT1G67500	ath:AT1G67500	K02350	DNA polymerase zeta [EC:2.7.7.7]	{'ath01100': 'Metabolic pathways'}	Q766Z3
AT2G15530	ath:AT2G15530	No_KO	--	(--,--)	Q9ZQF9
AT1G52400	ath:AT1G52400	K15748	beta-D-glucopyranosyl abscisate beta-glucosidase [EC:3.2.1.175]	{'ath00906': 'Carotenoid biosynthesis'}	Q9SE50
AT3G01320	ath:AT3G01320	K11644	paired amphipathic helix protein Sin3a	(--,--)	Q9SRH9
AT1G49015	ath:AT1G49015	No_KO	--	(--,--)	F4I057
AT4G10460	No_KEGG	--	--	(--,--)	--
AT3G05050	ath:AT3G05050	No_KO	--	(--,--)	Q9MAB4
AT2G47430	ath:AT2G47430	No_KO	--	(--,--)	O22267
AT1G20080	ath:AT1G20080	No_KO	--	(--,--)	B6ETT4
AT2G05710	ath:AT2G05710	K01681	aconitate hydratase [EC:4.2.1.3]	{'ath00630': 'Glyoxylate and dicarboxylate metabolism', 'ath01110': 'Biosynthesis of secondary metabolites', 'ath01200': 'Carbon metabolism', 'ath01230': 'Biosynthesis of amino acids', 'ath00020': 'Citrate cycle (TCA cycle)', 'ath01210': '2-Oxocarboxylic acid metabolism', 'ath01100': 'Metabolic pathways'}	Q9SIB9
AT4G05582	No_KEGG	--	--	(--,--)	--
AT5G61530	ath:AT5G61530	No_KO	--	(--,--)	Q3E875
AT5G06970	ath:AT5G06970	No_KO	--	(--,--)	Q8RX56
AT3G18300	ath:AT3G18300	No_KO	--	(--,--)	Q9LS60
AT3G50270	ath:AT3G50270	No_KO	--	(--,--)	Q9SNE0
AT3G55210	ath:AT3G55210	No_KO	--	(--,--)	Q9M3C9
AT2G12510	No_KEGG	--	--	(--,--)	--
AT3G52460	ath:AT3G52460	No_KO	--	(--,--)	Q9SVC7
AT4G03050	ath:AT4G03050	No_KO	--	(--,--)	Q9ZTA1
AT5G39690	ath:AT5G39690	No_KO	--	(--,--)	F4KEI6
AT4G20860	ath:AT4G20860	No_KO	--	(--,--)	Q9SUC6
AT5G20010	ath:AT5G20010	K07936	GTP-binding nuclear protein Ran	{'ath03008': 'Ribosome biogenesis in eukaryotes', 'ath03013': 'RNA transport'}	P41916
AT1G48780	ath:AT1G48780	No_KO	--	(--,--)	Q5BPX7
AT1G66460	ath:AT1G66460	No_KO	--	(--,--)	A0A1P8ASI4
AT2G29200	ath:AT2G29200	K17943	pumilio RNA-binding family	(--,--)	Q9ZW07
AT3G60280	ath:AT3G60280	No_KO	--	(--,--)	Q96316
AT2G38185	ath:AT2G38185	No_KO	--	(--,--)	Q0WS06
AT1G02330	ath:AT1G02330	No_KO	--	(--,--)	F4HVZ5
AT2G38220	ath:AT2G38220	No_KO	--	(--,--)	A0A1P8AYU1
AT2G38195	ath:AT2G38195	No_KO	--	(--,--)	F4IS12
AT4G07725	No_KEGG	--	--	(--,--)	--
AT2G13110	No_KEGG	--	--	(--,--)	--
AT3G21390	ath:AT3G21390	K15108	solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19	(--,--)	Q8RXZ9
AT3G29510	No_KEGG	--	--	(--,--)	--
AT5G01185	No_KEGG	--	--	(--,--)	--
AT5G32484	No_KEGG	--	--	(--,--)	--
AT5G22830	ath:AT5G22830	K16075	magnesium transporter	(--,--)	Q058N4
AT5G41000	ath:AT5G41000	No_KO	--	(--,--)	Q6R3K8
AT5G08360	ath:AT5G08360	No_KO	--	(--,--)	A0A1P8BET8
AT1G26580	ath:AT1G26580	No_KO	--	(--,--)	Q9FZE2
AT3G19440	ath:AT3G19440	No_KO	--	(--,--)	Q9LT72
AT3G30587	No_KEGG	--	--	(--,--)	--
AT3G57830	ath:AT3G57830	No_KO	--	(--,--)	A0A1I9LQG7
AT5G07890	ath:AT5G07890	No_KO	--	(--,--)	F4K867
AT5G27910	ath:AT5G27910	No_KO	--	(--,--)	Q4PSE2
AT5G19410	ath:AT5G19410	No_KO	--	(--,--)	Q3E9B8
AT1G14420	ath:AT1G14420	K01728	pectate lyase [EC:4.2.2.2]	{'ath00040': 'Pentose and glucuronate interconversions'}	Q9M9S2
AT2G20390	ath:AT2G20390	No_KO	--	(--,--)	F4IUI1
AT5G02250	ath:AT5G02250	No_KO	--	(--,--)	Q6NQJ6
AT1G25350	ath:AT1G25350	K01886	glutaminyl-tRNA synthetase [EC:6.1.1.18]	{'ath00970': 'Aminoacyl-tRNA biosynthesis', 'ath01100': 'Metabolic pathways'}	Q8W4F3
AT3G31359	No_KEGG	--	--	(--,--)	--
AT5G19390	ath:AT5G19390	No_KO	--	(--,--)	Q8RWQ4
AT5G46600	ath:AT5G46600	No_KO	--	(--,--)	Q9LS23
AT1G63690	ath:AT1G63690	No_KO	--	(--,--)	Q8W469
AT1G30820	ath:AT1G30820	K01937	CTP synthase [EC:6.3.4.2]	{'ath00240': 'Pyrimidine metabolism', 'ath01100': 'Metabolic pathways'}	A0A178WJZ2
AT3G47000	ath:AT3G47000	K05349	beta-glucosidase [EC:3.2.1.21]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00460': 'Cyanoamino acid metabolism', 'ath00500': 'Starch and sucrose metabolism', 'ath01100': 'Metabolic pathways', 'ath00940': 'Phenylpropanoid biosynthesis'}	A0A1I9LR69
AT4G29780	ath:AT4G29780	No_KO	--	(--,--)	Q84J48
AT5G45770	ath:AT5G45770	No_KO	--	(--,--)	Q9FK66
AT1G14020	ath:AT1G14020	No_KO	--	(--,--)	Q6NQ51
AT1G78380	ath:AT1G78380	K00799	glutathione S-transferase [EC:2.5.1.18]	{'ath00480': 'Glutathione metabolism'}	Q9ZRW8
AT1G27480	ath:AT1G27480	No_KO	--	(--,--)	Q9FZI8
AT1G14140	ath:AT1G14140	K15112	solute carrier family 25 (mitochondrial uncoupling protein), member 27	(--,--)	Q9XI74
AT5G57270	ath:AT5G57270	No_KO	--	(--,--)	Q8W4D1
AT2G05850	ath:AT2G05850	K16297	serine carboxypeptidase-like clade II [EC:3.4.16.-]	(--,--)	Q9ZUG3
AT5G66780	ath:AT5G66780	No_KO	--	(--,--)	A0A1P8BBD9
AT1G21020	No_KEGG	--	--	(--,--)	--
AT1G08740	No_KEGG	--	--	(--,--)	--
AT4G30110	ath:AT4G30110	K01534	Cd2+/Zn2+-exporting ATPase [EC:3.6.3.3 3.6.3.5]	(--,--)	Q9SZW4
AT3G18180	ath:AT3G18180	No_KO	--	(--,--)	Q9LV22
AT2G03505	ath:AT2G03505	No_KO	--	(--,--)	Q6NPI4
AT4G28050	ath:AT4G28050	No_KO	--	(--,--)	Q9SUD4
AT1G29750	ath:AT1G29750	No_KO	--	(--,--)	Q9FXF2
AT2G27090	ath:AT2G27090	No_KO	--	(--,--)	Q9ZVD1
AT2G18420	ath:AT2G18420	No_KO	--	(--,--)	F4IQJ4
AT5G66120	ath:AT5G66120	K01735	3-dehydroquinate synthase [EC:4.2.3.4]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ath01100': 'Metabolic pathways', 'ath01230': 'Biosynthesis of amino acids'}	Q8VYV7
AT1G28455	No_KEGG	--	--	(--,--)	--
AT1G68585	ath:AT1G68585	No_KO	--	(--,--)	Q8LGG7
AT1G36185	No_KEGG	--	--	(--,--)	--
AT1G32430	ath:AT1G32430	No_KO	--	(--,--)	Q9LQL4
AT3G43622	No_KEGG	--	--	(--,--)	--
AT5G49430	ath:AT5G49430	K11797	PH-interacting protein	(--,--)	F4K639
AT5G62830	ath:AT5G62830	No_KO	--	(--,--)	F4K7U0
AT4G38770	ath:AT4G38770	No_KO	--	(--,--)	Q9T0I5
AT1G77210	ath:AT1G77210	No_KO	--	(--,--)	Q8GW61
AT5G66280	ath:AT5G66280	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	{'ath00520': 'Amino sugar and nucleotide sugar metabolism', 'ath01100': 'Metabolic pathways', 'ath00051': 'Fructose and mannose metabolism'}	Q9SNY3
AT1G05420	ath:AT1G05420	No_KO	--	(--,--)	F4I8R6
AT3G09200	ath:AT3G09200	K02941	large subunit ribosomal protein LP0	{'ath03010': 'Ribosome'}	Q42112
AT4G31080	ath:AT4G31080	No_KO	--	(--,--)	F4JR68
AT5G27010	ath:AT5G27010	No_KO	--	(--,--)	F4K2T0
AT5G25100	ath:AT5G25100	K17086	transmembrane 9 superfamily member 2/4	(--,--)	Q9C5N2
AT5G58960	ath:AT5G58960	No_KO	--	(--,--)	F4KGE8
AT5G27750	ath:AT5G27750	No_KO	--	(--,--)	Q0V7P8
AT2G38650	ath:AT2G38650	K13648	alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]	{'ath00520': 'Amino sugar and nucleotide sugar metabolism'}	Q9ZVI7
AT3G26380	ath:AT3G26380	No_KO	--	(--,--)	A0A1I9LTP3
AT3G59240	ath:AT3G59240	No_KO	--	(--,--)	Q9LX47
AT5G32089	No_KEGG	--	--	(--,--)	--
AT5G30495	ath:AT5G30495	No_KO	--	(--,--)	F4KCY1
AT5G10370	ath:AT5G10370	K12818	ATP-dependent RNA helicase DHX8/PRP22 [EC:3.6.4.13]	{'ath03040': 'Spliceosome'}	F4KGU4
AT5G29613	ath:AT5G29613	No_KO	--	(--,--)	F4KBH7
AT3G51880	ath:AT3G51880	K10802	high mobility group protein B1	{'ath03410': 'Base excision repair'}	O49595
AT5G35926	ath:AT5G35926	No_KO	--	(--,--)	F4K1G1
AT5G41840	ath:AT5G41840	No_KO	--	(--,--)	Q9FJ30
AT1G44100	ath:AT1G44100	No_KO	--	(--,--)	Q8GUM3
AT1G79650	ath:AT1G79650	K10839	UV excision repair protein RAD23	{'ath04141': 'Protein processing in endoplasmic reticulum', 'ath03420': 'Nucleotide excision repair'}	Q84L33
AT5G06220	ath:AT5G06220	No_KO	--	(--,--)	F4K2D7
AT3G60040	ath:AT3G60040	No_KO	--	(--,--)	Q8GWI2
AT1G63900	ath:AT1G63900	K15688	E3 ubiquitin-protein ligase MUL1 [EC:2.3.2.27]	(--,--)	Q8L7N4
AT3G58960	ath:AT3G58960	No_KO	--	(--,--)	Q9LYU0
AT1G16190	ath:AT1G16190	K10839	UV excision repair protein RAD23	{'ath04141': 'Protein processing in endoplasmic reticulum', 'ath03420': 'Nucleotide excision repair'}	Q84L32
AT1G01420	ath:AT1G01420	K08237	hydroquinone glucosyltransferase [EC:2.4.1.218]	(--,--)	Q9LNI1
AT4G34050	ath:AT4G34050	K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00940': 'Phenylpropanoid biosynthesis', 'ath00945': 'Stilbenoid, diarylheptanoid and gingerol biosynthesis', 'ath00360': 'Phenylalanine metabolism', 'ath01100': 'Metabolic pathways', 'ath00941': 'Flavonoid biosynthesis'}	O49499
AT5G66790	ath:AT5G66790	No_KO	--	(--,--)	Q8GYF5
AT1G06140	ath:AT1G06140	No_KO	--	(--,--)	Q9LND4
AT1G80830	ath:AT1G80830	No_KO	--	(--,--)	Q9SAH8
AT2G26370	ath:AT2G26370	No_KO	--	(--,--)	O48704
AT2G13130	No_KEGG	--	--	(--,--)	--
AT3G17265	ath:AT3G17265	No_KO	--	(--,--)	Q9LUU5
AT5G36200	ath:AT5G36200	No_KO	--	(--,--)	Q9FHK1
AT3G17570	ath:AT3G17570	No_KO	--	(--,--)	Q9LUP1
AT3G49510	ath:AT3G49510	No_KO	--	(--,--)	Q9CA02
AT3G22350	ath:AT3G22350	No_KO	--	(--,--)	Q1PEN2
AT3G16820	ath:AT3G16820	No_KO	--	(--,--)	Q9LRZ2
AT3G16880	ath:AT3G16880	No_KO	--	(--,--)	Q9LIB4
AT3G22710	ath:AT3G22710	No_KO	--	(--,--)	Q9LUJ0
AT5G41320	ath:AT5G41320	No_KO	--	(--,--)	Q9FN68
AT1G63300	ath:AT1G63300	No_KO	--	(--,--)	Q9C8T4
AT1G80070	ath:AT1G80070	K12856	pre-mRNA-processing factor 8	{'ath03040': 'Spliceosome'}	Q9SSD2
AT1G24460	ath:AT1G24460	No_KO	--	(--,--)	F4I9A2
AT1G78500	ath:AT1G78500	K16204	seco-amyrin synthase [EC:5.4.99.52 5.4.99.54]	{'ath00909': 'Sesquiterpenoid and triterpenoid biosynthesis'}	Q9SYN1
AT3G01170	ath:AT3G01170	No_KO	--	(--,--)	A0A1I9LSN4
AT3G21800	ath:AT3G21800	No_KO	--	(--,--)	Q9LSY4
AT4G38890	ath:AT4G38890	K05544	tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]	(--,--)	Q9T0J6
AT2G25730	ath:AT2G25730	K19027	zinc finger FYVE domain-containing protein 26	(--,--)	F4ISN0
AT3G13830	ath:AT3G13830	No_KO	--	(--,--)	Q9LRW4
AT1G11810	ath:AT1G11810	No_KO	--	(--,--)	Q9SA94
AT3G01160	ath:AT3G01160	No_KO	--	(--,--)	Q9MAC6
AT1G56520	ath:AT1G56520	No_KO	--	(--,--)	F4I552
AT1G52880	ath:AT1G52880	No_KO	--	(--,--)	Q9ZNU2
AT1G02500	ath:AT1G02500	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00270': 'Cysteine and methionine metabolism', 'ath01100': 'Metabolic pathways', 'ath01230': 'Biosynthesis of amino acids'}	P23686
AT2G22810	ath:AT2G22810	K01762	1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00270': 'Cysteine and methionine metabolism', 'ath01100': 'Metabolic pathways'}	Q43309
AT3G23080	ath:AT3G23080	No_KO	--	(--,--)	F4J2V1
AT4G16330	ath:AT4G16330	No_KO	--	(--,--)	F4JLS2
AT5G50930	ath:AT5G50930	No_KO	--	(--,--)	Q9FI55
AT3G02550	ath:AT3G02550	No_KO	--	(--,--)	Q9M886
AT1G21529	ath:AT1G21529	No_KO	--	(--,--)	--
AT1G79680	ath:AT1G79680	No_KO	--	(--,--)	Q8VYA3
AT1G68760	ath:AT1G68760	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	(--,--)	Q9CA40
AT3G06270	ath:AT3G06270	No_KO	--	(--,--)	Q7XJ53
AT4G02650	ath:AT4G02650	No_KO	--	(--,--)	Q8GX47
AT4G07935	No_KEGG	--	--	(--,--)	--
AT4G24974	ath:AT4G24974	No_KO	--	(--,--)	B3H7A6
AT5G50240	ath:AT5G50240	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	(--,--)	Q64J17
AT5G64120	ath:AT5G64120	K00430	peroxidase [EC:1.11.1.7]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00940': 'Phenylpropanoid biosynthesis', 'ath01100': 'Metabolic pathways'}	Q43387
AT1G48660	ath:AT1G48660	K14487	auxin responsive GH3 gene family	{'ath04075': 'Plant hormone signal transduction'}	A0A1P8AV88
AT3G44880	ath:AT3G44880	K13071	pheophorbide a oxygenase [EC:1.14.15.17]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00860': 'Porphyrin and chlorophyll metabolism'}	Q9FYC2
AT4G15640	ath:AT4G15640	No_KO	--	(--,--)	A0A1P8B527
AT1G21980	ath:AT1G21980	K00889	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	{'ath04070': 'Phosphatidylinositol signaling system', 'ath04144': 'Endocytosis', 'ath01100': 'Metabolic pathways', 'ath00562': 'Inositol phosphate metabolism'}	Q56YP2
AT2G05770	No_KEGG	--	--	(--,--)	--
AT3G13770	ath:AT3G13770	No_KO	--	(--,--)	Q9LIC3
AT3G22970	ath:AT3G22970	No_KO	--	(--,--)	F4J2T8
AT3G22968	No_KEGG	--	--	(--,--)	--
AT1G77740	ath:AT1G77740	K00889	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]	{'ath04070': 'Phosphatidylinositol signaling system', 'ath04144': 'Endocytosis', 'ath01100': 'Metabolic pathways', 'ath00562': 'Inositol phosphate metabolism'}	Q8L796
AT1G41900	No_KEGG	--	--	(--,--)	--
AT3G33151	No_KEGG	--	--	(--,--)	--
AT3G42470	No_KEGG	--	--	(--,--)	--
AT3G57930	ath:AT3G57930	No_KO	--	(--,--)	Q9M2Q5
AT4G35985	ath:AT4G35985	No_KO	--	(--,--)	F4JNX2
AT4G38390	ath:AT4G38390	No_KO	--	(--,--)	Q9SVE6
AT5G11980	ath:AT5G11980	K20295	conserved oligomeric Golgi complex subunit 8	(--,--)	A0A1P8BAA7
AT3G48930	ath:AT3G48930	K02949	small subunit ribosomal protein S11e	{'ath03010': 'Ribosome'}	P16181
AT5G28495	No_KEGG	--	--	(--,--)	--
AT2G32250	ath:AT2G32250	No_KO	--	(--,--)	Q3EBQ3
AT1G07930	ath:AT1G07930	K03231	elongation factor 1-alpha	{'ath03013': 'RNA transport'}	P0DH99
AT5G50550	ath:AT5G50550	K14003	prolactin regulatory element-binding protein	{'ath04141': 'Protein processing in endoplasmic reticulum'}	Q9FGP3
AT5G50650	ath:AT5G50650	K14003	prolactin regulatory element-binding protein	{'ath04141': 'Protein processing in endoplasmic reticulum'}	Q9FGP3
AT2G21170	ath:AT2G21170	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00010': 'Glycolysis / Gluconeogenesis', 'ath01230': 'Biosynthesis of amino acids', 'ath00562': 'Inositol phosphate metabolism', 'ath00710': 'Carbon fixation in photosynthetic organisms', 'ath01200': 'Carbon metabolism', 'ath00051': 'Fructose and mannose metabolism', 'ath01100': 'Metabolic pathways'}	Q9SKP6
AT5G07280	ath:AT5G07280	No_KO	--	(--,--)	Q9LYN8
AT1G20510	ath:AT1G20510	K10526	OPC-8:0 CoA ligase 1 [EC:6.2.1.-]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath01100': 'Metabolic pathways', 'ath00592': 'alpha-Linolenic acid metabolism'}	Q84P21
AT3G54810	ath:AT3G54810	No_KO	--	(--,--)	Q9SV30
AT5G08390	ath:AT5G08390	K18643	katanin p80 WD40 repeat-containing subunit B1	(--,--)	F4KB17
AT5G50840	ath:AT5G50840	No_KO	--	(--,--)	Q8RXD7
AT1G69910	ath:AT1G69910	No_KO	--	(--,--)	F4I3V3
AT3G58860	ath:AT3G58860	No_KO	--	(--,--)	Q9LXR6
AT3G51260	ath:AT3G51260	K02731	20S proteasome subunit alpha 4 [EC:3.4.25.1]	{'ath03050': 'Proteasome'}	P30186
AT5G35390	ath:AT5G35390	No_KO	--	(--,--)	C0LGU0
AT5G49190	ath:AT5G49190	K00695	sucrose synthase [EC:2.4.1.13]	{'ath00500': 'Starch and sucrose metabolism', 'ath01100': 'Metabolic pathways'}	Q00917
AT1G78720	ath:AT1G78720	K10956	protein transport protein SEC61 subunit alpha	{'ath04141': 'Protein processing in endoplasmic reticulum', 'ath04145': 'Phagosome', 'ath03060': 'Protein export'}	Q9ZV90
AT1G35840	No_KEGG	--	--	(--,--)	--
AT2G23700	ath:AT2G23700	No_KO	--	(--,--)	O64832
AT1G56610	ath:AT1G56610	No_KO	--	(--,--)	Q8GYP8
AT5G26030	ath:AT5G26030	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00860': 'Porphyrin and chlorophyll metabolism', 'ath01100': 'Metabolic pathways'}	P42043
AT5G26038	ath:AT5G26038	No_KO	--	(--,--)	--
AT1G55210	ath:AT1G55210	No_KO	--	(--,--)	Q9C891
AT1G01040	ath:AT1G01040	K11592	endoribonuclease Dicer [EC:3.1.26.-]	(--,--)	Q9SP32
AT2G46060	ath:AT2G46060	No_KO	--	(--,--)	A0A1P8AYH4
AT3G27870	ath:AT3G27870	K01530	phospholipid-translocating ATPase [EC:3.6.3.1]	(--,--)	Q9LK90
AT3G44705	No_KEGG	--	--	(--,--)	--
AT3G33030	No_KEGG	--	--	(--,--)	--
AT4G10180	ath:AT4G10180	K10571	de-etiolated-1	{'ath04120': 'Ubiquitin mediated proteolysis'}	P48732
AT5G09590	ath:AT5G09590	K04043	molecular chaperone DnaK	{'ath03018': 'RNA degradation'}	Q9LDZ0
AT2G28060	ath:AT2G28060	No_KO	--	(--,--)	Q9ZUU8
AT2G41330	ath:AT2G41330	No_KO	--	(--,--)	Q9ZVB8
AT3G10985	ath:AT3G10985	No_KO	--	(--,--)	Q94AK6
AT1G13000	ath:AT1G13000	No_KO	--	(--,--)	Q8VYF6
AT1G60490	ath:AT1G60490	K00914	phosphatidylinositol 3-kinase [EC:2.7.1.137]	{'ath04136': 'Autophagy - other', 'ath04070': 'Phosphatidylinositol signaling system', 'ath04145': 'Phagosome', 'ath01100': 'Metabolic pathways', 'ath00562': 'Inositol phosphate metabolism'}	P42339
AT1G43190	ath:AT1G43190	K14948	polypyrimidine tract-binding protein 2	(--,--)	Q6ICX4
AT5G04930	ath:AT5G04930	K14802	phospholipid-transporting ATPase [EC:3.6.3.1]	(--,--)	P98204
AT1G28060	ath:AT1G28060	K12843	U4/U6 small nuclear ribonucleoprotein PRP3	{'ath03040': 'Spliceosome'}	Q9C7E7
AT1G78360	ath:AT1G78360	K00799	glutathione S-transferase [EC:2.5.1.18]	{'ath00480': 'Glutathione metabolism'}	F4IA73
AT2G05500	No_KEGG	--	--	(--,--)	--
AT2G24210	ath:AT2G24210	K12467	myrcene/ocimene synthase [EC:4.2.3.15]	{'ath01110': 'Biosynthesis of secondary metabolites', 'ath00902': 'Monoterpenoid biosynthesis'}	Q9ZUH4
AT3G33565	No_KEGG	--	--	(--,--)	--
AT4G06528	No_KEGG	--	--	(--,--)	--
AT5G41260	ath:AT5G41260	K14500	BR-signaling kinase [EC:2.7.11.1]	{'ath04075': 'Plant hormone signal transduction'}	Q9FHD7
AT5G07100	ath:AT5G07100	No_KO	--	(--,--)	Q9C5T3
AT5G34431	No_KEGG	--	--	(--,--)	--
AT1G13970	ath:AT1G13970	No_KO	--	(--,--)	Q9XI89
AT3G07740	ath:AT3G07740	K11314	transcriptional adapter 2-alpha	(--,--)	Q9SFD5
AT3G56860	ath:AT3G56860	K12741	heterogeneous nuclear ribonucleoprotein A1/A3	{'ath03040': 'Spliceosome'}	Q9LES2
AT3G07130	ath:AT3G07130	K22390	acid phosphatase type 7	(--,--)	Q9SFU3
AT3G12230	ath:AT3G12230	K16296	serine carboxypeptidase-like clade I [EC:3.4.16.-]	(--,--)	Q9C7D3
AT4G12790	ath:AT4G12790	K06883	uncharacterized protein	(--,--)	Q8W4C1
AT5G07970	ath:AT5G07970	No_KO	--	(--,--)	Q9SD87
AT4G08034	No_KEGG	--	--	(--,--)	--
AT1G58270	ath:AT1G58270	No_KO	--	(--,--)	Q9SLV3
AT1G74300	ath:AT1G74300	No_KO	--	(--,--)	A0A1P8ATY9
AT2G06010	ath:AT2G06010	No_KO	--	(--,--)	Q8VY85
AT3G51600	ath:AT3G51600	No_KO	--	(--,--)	Q9XFS7
AT5G43415	No_KEGG	--	--	(--,--)	--
AT1G59550	ath:AT1G59550	No_KO	--	(--,--)	Q94HV8
AT3G55130	ath:AT3G55130	No_KO	--	(--,--)	Q9M3D6
AT4G16570	ath:AT4G16570	K11438	type III protein arginine methyltransferase [EC:2.1.1.321]	(--,--)	Q944R7
AT2G32470	ath:AT2G32470	No_KO	--	(--,--)	O80884
AT4G03260	ath:AT4G03260	No_KO	--	(--,--)	Q8GUJ5
AT1G67330	ath:AT1G67330	No_KO	--	(--,--)	Q9FYG0
AT1G48470	ath:AT1G48470	K01915	glutamine synthetase [EC:6.3.1.2]	{'ath00630': 'Glyoxylate and dicarboxylate metabolism', 'ath01230': 'Biosynthesis of amino acids', 'ath00910': 'Nitrogen metabolism', 'ath00220': 'Arginine biosynthesis', 'ath01100': 'Metabolic pathways', 'ath00250': 'Alanine, aspartate and glutamate metabolism'}	Q8GXW5
